stage,inside,beyond_minority_side,beyond_majority_side,closer_to_minority_mean
initial,0.8482142857142857,0.05892857142857143,0.09285714285714286,0.2875
revised,0.875,0.055357142857142855,0.06964285714285715,0.30357142857142855
