stage,n,k,n_rounds,minority_weight,r2,true_share
initial,4,1,101,0.2200367729872495,0.8957211361762804,
initial,5,1,308,0.18538592915371568,0.9011803334470764,
initial,5,2,149,0.3542966412533476,0.8981363631996796,
initial,all,-,560,0.23591567821036682,,0.26151785714285714
revised,4,1,101,0.22884091001043277,0.8929998764850176,
revised,5,1,308,0.1908468825579789,0.8974763885390319,
revised,5,2,149,0.36408225555315177,0.8931974769948181,
revised,all,-,560,0.24311076395773362,,0.26151785714285714
