stage,inside,beyond_minority_side,beyond_majority_side,closer_to_minority_mean
initial,0.8428571428571429,0.048214285714285716,0.10892857142857143,0.23035714285714284
revised,0.8696428571428572,0.04285714285714286,0.0875,0.21964285714285714
