stage,n,k,n_rounds,minority_weight,r2,true_share
initial,4,1,101,0.2080056880614666,0.8480046863418447,
initial,5,1,308,0.16348343451852773,0.8598012060230694,
initial,5,2,149,0.33479491522525834,0.8491727741207029,
initial,all,-,560,0.21651056195442528,,0.26151785714285714
revised,4,1,101,0.2038915470603667,0.8465479089880825,
revised,5,1,308,0.16939820967513172,0.8568965171527597,
revised,5,2,149,0.34721654236684074,0.8457223047203046,
revised,all,-,560,0.22232671365303014,,0.26151785714285714
