stage,inside,beyond_minority_side,beyond_majority_side,closer_to_minority_mean
initial,0.8535714285714285,0.055357142857142855,0.09107142857142857,0.22678571428571428
revised,0.9035714285714286,0.04107142857142857,0.055357142857142855,0.2392857142857143
