stage,n,k,n_rounds,minority_weight,r2,true_share
initial,4,1,101,0.21563232826666204,0.8723235577666444,
initial,5,1,308,0.18107044125519323,0.8815194647953085,
initial,5,2,149,0.3402661637866471,0.8777954226292137,
initial,all,-,560,0.22901467761739785,,0.26151785714285714
revised,4,1,101,0.21761604961691844,0.8701847731943722,
revised,5,1,308,0.1864780834186246,0.8772426885765097,
revised,5,2,149,0.35699351716815064,0.8713317171167527,
revised,all,-,560,0.23679732993267782,,0.26151785714285714
