stage,inside,beyond_minority_side,beyond_majority_side,closer_to_minority_mean
initial,0.8642857142857143,0.04642857142857143,0.08928571428571429,0.2375
revised,0.9017857142857143,0.0375,0.060714285714285714,0.22321428571428573
