stage,n,k,n_rounds,minority_weight,r2,true_share
initial,4,1,101,0.2148762277682532,0.8444513239794302,
initial,5,1,308,0.17298493384945382,0.8515309459857798,
initial,5,2,149,0.34161704345265853,0.8440617034466535,
initial,all,-,560,0.22479071090119906,,0.26151785714285714
revised,4,1,101,0.21121745536307227,0.8391377134211893,
revised,5,1,308,0.17824105837905388,0.8428391501937518,
revised,5,2,149,0.35588849003144235,0.8350120009744963,
revised,all,-,560,0.23081891783411393,,0.26151785714285714
